model,group,cell,condition,source_accuracy,false_match,rejection,pitch_accuracy,time_accuracy,timbre_accuracy,alignment_coverage
patch-multi/reference,sp-27,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-27,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-27,unchanged,unrelated,0.0,1.0,0.0,0.0,0.0,0.0,1.0
patch-multi/absolute,sp-27,transpose,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-27,transpose,intact,1.0,0.0,0.0,1.0,1.0,0.5,1.0
patch-multi/absolute,sp-27,stretch,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-27,stretch,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-27,timbre,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-27,timbre,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-28,unchanged,intact,0.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-28,unchanged,intact,0.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-28,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-28,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-28,unchanged,removal,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-28,unchanged,removal,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-28,unchanged,swap,0.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-28,unchanged,swap,0.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-28,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-28,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-28,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-28,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-28,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-28,unchanged,unrelated,0.0,1.0,0.0,0.0,0.5,0.0,1.0
patch-multi/absolute,sp-28,transpose,intact,0.0,0.0,0.5,0.0,0.0,0.0,0.5
patch-multi/reference,sp-28,transpose,intact,0.0,0.0,0.0,1.0,1.0,0.5,1.0
patch-multi/absolute,sp-28,stretch,intact,0.0,0.0,0.0,1.0,0.5,0.0,1.0
patch-multi/reference,sp-28,stretch,intact,0.0,0.0,0.0,1.0,0.5,0.0,1.0
patch-multi/absolute,sp-28,timbre,intact,0.0,0.0,0.0,1.0,1.0,0.0,1.0
patch-multi/reference,sp-28,timbre,intact,0.0,0.0,0.0,1.0,1.0,0.0,1.0
patch-multi/absolute,sp-29,unchanged,intact,0.5,0.0,0.0,1.0,0.5,1.0,1.0
patch-multi/reference,sp-29,unchanged,intact,0.5,0.0,0.0,1.0,0.5,1.0,1.0
patch-multi/absolute,sp-29,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-29,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-29,unchanged,removal,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-29,unchanged,removal,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-29,unchanged,swap,0.5,0.0,0.0,1.0,0.5,1.0,1.0
patch-multi/reference,sp-29,unchanged,swap,0.5,0.0,0.0,1.0,0.5,1.0,1.0
