query_id,reference_id,path_index,used_for_support,role,correspondence_order,reference_event,query_event,reference_onset_s,reference_offset_s,reference_pitch_semitones,query_onset_s,query_offset_s,query_pitch_semitones,mapped_reference_onset_s,mapped_reference_offset_s,mapped_reference_pitch_semitones,pitch_residual_semitones,timing_residual_s,absolute_pitch_change_semitones,onset_change_s
e16_query_a_delete_two,e16_reference_b,1,False,maximum_candidate,0,1,0,0.29899999499320984,0.39100000262260437,11.540648460388184,0.1340000033378601,0.22499999403953552,8.540674209594727,0.1340000033378601,0.2254424423138091,9.040666580200195,-0.49999237060546875,0.0,-2.999974250793457,-0.16499999165534973
e16_query_a_delete_two,e16_reference_b,1,False,maximum_candidate,1,2,1,0.46399998664855957,0.5550000071525574,8.540674209594727,0.2980000078678131,0.39100000262260437,6.540684700012207,0.2980000078678131,0.3884485201686777,6.040692329406738,0.49999237060546875,0.0,-1.9999895095825195,-0.16599997878074646
e16_query_a_merged,e16_distractor_3,0,True,maximum_candidate,0,2,0,0.46399998664855957,0.5550000071525574,8.540674209594727,0.1340000033378601,0.22499999403953552,8.540674209594727,0.1340000033378601,0.40700003197698575,8.540674209594727,0.0,0.0,0.0,-0.32999998331069946
e16_query_a_merged,e16_distractor_3,0,True,maximum_candidate,1,3,2,0.6290000081062317,0.7200000286102295,9.54076099395752,0.6290000081062317,0.7200000286102295,9.54076099395752,0.6290000081062317,0.9020000367453571,9.54076099395752,0.0,0.0,0.0,0.0
e16_query_a_merged,e16_distractor_3,1,False,maximum_candidate,0,1,0,0.2980000078678131,0.39100000262260437,6.540684700012207,0.1340000033378601,0.22499999403953552,8.540674209594727,0.1340000033378601,0.41131930292574403,8.040722846984863,0.4999513626098633,0.0,1.9999895095825195,-0.164000004529953
e16_query_a_merged,e16_distractor_3,1,False,maximum_candidate,1,2,2,0.46399998664855957,0.5550000071525574,8.540674209594727,0.6290000081062317,0.7200000286102295,9.54076099395752,0.6290000081062317,0.9003555282349209,10.040712356567383,-0.4999513626098633,0.0,1.000086784362793,0.16500002145767212
e16_query_a_merged,e16_distractor_5,0,True,maximum_candidate,0,0,0,0.1340000033378601,0.22499999403953552,8.540674209594727,0.1340000033378601,0.22499999403953552,8.540674209594727,0.1340000033378601,0.4069999918793179,8.540674209594727,0.0,0.0,0.0,0.0
e16_query_a_merged,e16_distractor_5,0,True,maximum_candidate,1,1,2,0.29899999499320984,0.38999998569488525,9.54076099395752,0.6290000081062317,0.7200000286102295,9.54076099395752,0.6290000081062317,0.9019999966476895,9.54076099395752,0.0,0.0,0.0,0.33000001311302185
e16_query_a_merged,e16_distractor_5,1,False,maximum_candidate,0,1,0,0.29899999499320984,0.38999998569488525,9.54076099395752,0.1340000033378601,0.22499999403953552,8.540674209594727,0.1340000033378601,0.4069999918793179,8.040773868560791,0.49990034103393555,0.0,-1.000086784362793,-0.16499999165534973
e16_query_a_merged,e16_distractor_5,1,False,maximum_candidate,1,2,2,0.46399998664855957,0.5559999942779541,11.540648460388184,0.6290000081062317,0.7200000286102295,9.54076099395752,0.6290000081062317,0.9050000476114699,10.040661334991455,-0.49990034103393555,0.0,-1.999887466430664,0.16500002145767212
e16_query_a_merged,e16_reference_a,0,True,true_source,0,0,0,0.1340000033378601,0.22499999403953552,8.540674209594727,0.1340000033378601,0.22499999403953552,8.540674209594727,0.1340000033378601,0.22499999403953552,8.540674209594727,0.0,0.0,0.0,0.0
e16_query_a_merged,e16_reference_a,0,True,true_source,1,3,2,0.6290000081062317,0.7200000286102295,9.54076099395752,0.6290000081062317,0.7200000286102295,9.54076099395752,0.6290000081062317,0.7200000286102295,9.54076099395752,0.0,0.0,0.0,0.0
e16_query_a_merged,e16_reference_b,0,True,maximum_candidate,0,2,0,0.46399998664855957,0.5550000071525574,8.540674209594727,0.1340000033378601,0.22499999403953552,8.540674209594727,0.1340000033378601,0.40700003197698575,8.540674209594727,0.0,0.0,0.0,-0.32999998331069946
e16_query_a_merged,e16_reference_b,0,True,maximum_candidate,1,3,2,0.6290000081062317,0.7200000286102295,9.54076099395752,0.6290000081062317,0.7200000286102295,9.54076099395752,0.6290000081062317,0.9020000367453571,9.54076099395752,0.0,0.0,0.0,0.0
