split,length,family,n_available,feature,mean_raw_feature,mean_logit_contribution,frozen_intercept,mean_reconstructed_logit
held_out,4,substitute,8,unreliable_query_fraction,0.0,0.0814702909182707,-7.356364000313694,-0.2654208755846872
held_out,4,substitute,8,reference_log,1.6094379124341003,0.6509790106976309,-7.356364000313694,-0.2654208755846872
held_out,4,substitute,8,query_log,1.6094379124341003,0.5471623772643888,-7.356364000313694,-0.2654208755846872
held_out,4,timing,8,cost,0.013752841690876042,0.0049230929797741034,-7.356364000313694,6.008649809879791
held_out,4,timing,8,matched_log,1.6094379124341003,0.017125011141894908,-7.356364000313694,6.008649809879791
held_out,4,timing,8,reference_coverage,1.0,2.0669679276961195,-7.356364000313694,6.008649809879791
held_out,4,timing,8,query_coverage,1.0,2.2784448194846703,-7.356364000313694,6.008649809879791
held_out,4,timing,8,mean_pitch_loss,0.0,0.0016502016945512438,-7.356364000313694,6.008649809879791
held_out,4,timing,8,exact_pitch_fraction,1.0,3.369081528900875,-7.356364000313694,6.008649809879791
held_out,4,timing,8,mean_timing_loss,0.013752841690876042,0.0017968022345072293,-7.356364000313694,6.008649809879791
held_out,4,timing,8,missing_fraction,0.0,2.0669679276961337,-7.356364000313694,6.008649809879791
held_out,4,timing,8,inserted_fraction,0.0,2.2784448194846694,-7.356364000313694,6.008649809879791
held_out,4,timing,8,unreliable_query_fraction,0.0,0.0814702909182707,-7.356364000313694,6.008649809879791
held_out,4,timing,8,reference_log,1.6094379124341003,0.6509790106976309,-7.356364000313694,6.008649809879791
held_out,4,timing,8,query_log,1.6094379124341003,0.5471623772643888,-7.356364000313694,6.008649809879791
held_out,4,transpose,8,cost,0.0,0.004971102569407562,-7.356364000313694,6.00872598409316
held_out,4,transpose,8,matched_log,1.6094379124341003,0.017125011141894908,-7.356364000313694,6.00872598409316
held_out,4,transpose,8,reference_coverage,1.0,2.0669679276961195,-7.356364000313694,6.00872598409316
held_out,4,transpose,8,query_coverage,1.0,2.2784448194846703,-7.356364000313694,6.00872598409316
held_out,4,transpose,8,mean_pitch_loss,0.0,0.0016502016945512438,-7.356364000313694,6.00872598409316
held_out,4,transpose,8,exact_pitch_fraction,1.0,3.369081528900875,-7.356364000313694,6.00872598409316
held_out,4,transpose,8,mean_timing_loss,0.0,0.001824966858244634,-7.356364000313694,6.00872598409316
held_out,4,transpose,8,missing_fraction,0.0,2.0669679276961337,-7.356364000313694,6.00872598409316
held_out,4,transpose,8,inserted_fraction,0.0,2.2784448194846694,-7.356364000313694,6.00872598409316
held_out,4,transpose,8,unreliable_query_fraction,0.0,0.0814702909182707,-7.356364000313694,6.00872598409316
held_out,4,transpose,8,reference_log,1.6094379124341003,0.6509790106976309,-7.356364000313694,6.00872598409316
held_out,4,transpose,8,query_log,1.6094379124341003,0.5471623772643888,-7.356364000313694,6.00872598409316
held_out,4,weak_present,8,cost,0.175,0.004360197683370138,-7.356364000313694,3.5004254872053133
held_out,4,weak_present,8,matched_log,1.3862943611198906,-0.20693137815060034,-7.356364000313694,3.5004254872053133
